Mask_class_0,Mask_class_1,Mask_class_2,Pred_class_0,Pred_class_1,Pred_class_2,Dice_class1,Dice_class_2,psnr,ssim,patch name
65167,0,369,65536,0,0,9.999925e-07,1.9996446e-06,20.72866635429659,0.22133787631854496,Platte_20220516_Maize_005_0000.png
64956,0,580,65536,0,0,9.999925e-07,1.9997742e-06,20.86869271886792,0.19978993141262927,Platte_20220516_Maize_005_0001.png
64841,0,695,65536,0,0,9.999925e-07,1.9998117e-06,20.503996378060233,0.19618401591637993,Platte_20220516_Maize_005_0002.png
65179,0,357,65536,0,0,9.999925e-07,1.999633e-06,21.266248028879605,0.22692869423508863,Platte_20220516_Maize_005_0003.png
65307,0,229,65536,0,0,9.999925e-07,1.999428e-06,24.061769147933994,0.4123565252220322,Platte_20220516_Maize_005_0004.png
65397,0,139,65536,0,0,9.999925e-07,1.9990582e-06,23.309815910728272,0.32968319782887234,Platte_20220516_Maize_005_0005.png
63767,0,1769,65536,0,0,9.999925e-07,1.9999256e-06,21.26081014350386,0.22289336308659022,Platte_20220516_Maize_005_0006.png
64719,0,817,65536,0,0,9.999925e-07,1.9998397e-06,20.20926350212197,0.17009685481708148,Platte_20220516_Maize_005_0007.png
64652,0,884,65536,0,0,9.999925e-07,1.9998515e-06,21.221725591311355,0.22258178381488447,Platte_20220516_Maize_005_0008.png
63083,0,2453,65536,0,0,9.999925e-07,1.9999463e-06,20.593716718182677,0.24375269474226421,Platte_20220516_Maize_005_0009.png
60629,0,4907,63852,25,1659,1.9947843e-06,0.48339182,21.444438543979196,0.2527423903788156,Platte_20220516_Maize_005_0010.png
64778,0,758,65536,0,0,9.999925e-07,1.9998274e-06,20.98434386405956,0.24113406238067214,Platte_20220516_Maize_005_0011.png
65129,0,407,65536,0,0,9.999925e-07,1.999678e-06,24.610649981068327,0.40126491593008073,Platte_20220516_Maize_005_0012.png
64935,0,601,65536,0,0,9.999925e-07,1.9997822e-06,25.889680903075615,0.5046558169353762,Platte_20220516_Maize_005_0013.png
64992,0,544,65536,0,0,9.999925e-07,1.999759e-06,21.074907257260694,0.20944547527487356,Platte_20220516_Maize_005_0014.png
65077,0,459,65536,0,0,9.999925e-07,1.9997146e-06,21.191610446059613,0.2579784007109846,Platte_20220516_Maize_005_0015.png
64974,0,562,65536,0,0,9.999925e-07,1.999767e-06,21.533277592074608,0.23208326127329446,Platte_20220516_Maize_005_0016.png
64622,0,914,65536,0,0,9.999925e-07,1.9998567e-06,20.787750977908072,0.2281966971503091,Platte_20220516_Maize_005_0017.png
64532,0,1004,65517,19,0,1.9931492e-06,1.9998693e-06,19.941723714680492,0.16931287751391502,Platte_20220516_Maize_005_0018.png
65284,0,252,65536,0,0,9.999925e-07,1.9994802e-06,21.965188325332306,0.24312073494172406,Platte_20220516_Maize_005_0019.png
64806,79,651,65536,0,0,1.9983424e-06,1.9997988e-06,24.160800598680204,0.3680663324579723,Platte_20220516_Maize_005_0020.png
64717,0,819,65536,0,0,9.999925e-07,1.9998402e-06,22.767984572257447,0.302678575159187,Platte_20220516_Maize_005_0021.png
64148,0,1388,65536,0,0,9.999925e-07,1.9999054e-06,26.05939434739421,0.47751651116122007,Platte_20220516_Maize_005_0022.png
62090,0,3446,63016,41,2479,1.996813e-06,0.7172859,21.971533298225605,0.2522590306338807,Platte_20220516_Maize_005_0023.png
64894,0,642,65536,0,0,9.999925e-07,1.999796e-06,19.98909823859464,0.17340291008901096,Platte_20220516_Maize_005_0024.png
64424,0,1112,65536,0,0,9.999925e-07,1.999882e-06,20.864906622592223,0.20718353111164367,Platte_20220516_Maize_005_0025.png
65341,0,195,65536,0,0,9.999925e-07,1.999328e-06,19.90540610792281,0.1780111605414585,Platte_20220516_Maize_005_0026.png
64986,0,550,65536,0,0,9.999925e-07,1.999762e-06,27.34810317345979,0.5111045894844958,Platte_20220516_Maize_005_0027.png
65260,0,276,65536,0,0,9.999925e-07,1.9995248e-06,27.434812883415532,0.55597057691972,Platte_20220516_Maize_005_0028.png
64885,0,651,65536,0,0,9.999925e-07,1.999799e-06,20.259195040980988,0.19597332613441934,Platte_20220516_Maize_005_0029.png
64998,0,538,65536,0,0,9.999925e-07,1.9997565e-06,26.210612397980817,0.47044672503221435,Platte_20220516_Maize_005_0030.png
64874,0,662,65536,0,0,9.999925e-07,1.9998022e-06,19.97509631207287,0.17158906969523188,Platte_20220516_Maize_005_0031.png
65107,0,429,65536,0,0,9.999925e-07,1.9996949e-06,20.26836070002702,0.17363007413045564,Platte_20220516_Maize_005_0032.png
65359,0,177,65536,0,0,9.999925e-07,1.99926e-06,23.142248224815567,0.3282953087029845,Platte_20220516_Maize_005_0033.png
63149,0,2387,64954,0,582,nan,0.34555775,23.15234563343846,0.3018575738434945,Platte_20220516_Maize_005_0034.png
64966,0,570,65536,0,0,9.999925e-07,1.9997706e-06,21.239553656902103,0.23811261379917284,Platte_20220516_Maize_005_0035.png
63365,0,2171,64049,0,1487,nan,0.7719812,20.70770312370191,0.1947667778973644,Platte_20220516_Maize_005_0036.png
62821,0,2715,64335,0,1201,nan,0.5893593,27.75064355709087,0.580124090599043,Platte_20220516_Maize_005_0037.png
60674,4862,0,64587,0,949,1.9999732e-06,1.999862e-06,22.133458734775573,0.28062096610285936,Platte_20220516_Maize_005_0038.png
59004,6532,0,62706,0,2830,1.9999802e-06,1.9999536e-06,20.77708297723646,0.23613559167822795,Platte_20220516_Maize_005_0039.png
62836,2541,159,64398,478,660,0.30605033,1.99984e-06,20.97949279604282,0.22346032718082212,Platte_20220516_Maize_005_0040.png
58115,7421,0,59102,0,6434,1.9999825e-06,1.99998e-06,22.385304737950385,0.29231077618722057,Platte_20220516_Maize_005_0041.png
57430,8106,0,60187,1583,3766,0.32098028,1.999965e-06,22.444042791963238,0.31258898682471176,Platte_20220516_Maize_005_0042.png
